Improved maize reference genome with single-molecule technologies	1362
Comparative population genomics of maize domestication and improvement	1069
A first-generation haplotype map of maize	928
Identification of a functional transposon insertion in the maize domestication gene tb1	923
De novo assembly, annotation, and comparative analysis of 26 diverse maize genomes	725
Maize HapMap2 identifies extant variation from a genome in flux	715
Feeding the future	708
Crop genomics: advances and applications	630
Comparative analysis of tandem repeats from hundreds of species reveals unique insights into centromere evolution	625
Plant domestication, a unique opportunity to identify the genetic basis of adaptation	607
Seed filling in domesticated maize and rice depends on SWEET-mediated hexose transport	545
Genetic signals of origin, spread, and introgression in a large sample of maize landraces	537
Transposable elements contribute to activation of maize genes in response to abiotic stress	536
Patterns of Population Structure and Environmental Associations to Aridity Across the Range of Loblolly Pine (Pinus taeda L., Pinaceae)	462
Genetic architecture of maize kernel composition in the nested association mapping and inbred association panels	439
Advances and limits of using population genetics to understand local adaptation	427
The genomic signature of crop-wild introgression in maize	413
Construction of the third-generation Zea mays haplotype map	357
Genome-wide selection and genetic improvement during modern maize breeding	327
The interplay of demography and selection during maize domestication and expansion	240
Genomic estimation of complex traits reveals ancient maize adaptation to temperate North America	226
Patterns of polymorphism and demographic history in natural populations of Arabidopsis lyrata	217
Genome Size and Transposable Element Content as Determined by High-Throughput Sequencing in Maize and Zea luxurians	216
The origin and evolution of maize in the Southwestern United States	211
Historical divergence and gene flow in the genus Zea	211
The ethnobotany of chaya (Cnidoscolus aconitifolius ssp. aconitifolius Breckon): a nutritious maya vegetable	208
Historical genomics of North American maize	204
Incomplete dominance of deleterious alleles contributes substantially to trait variation and heterosis in maize	191
Selection on grain shattering genes and rates of rice domestication	188
Reshaping of the maize transcriptome by domestication	187
Two teosintes made modern maize	185
Genome sequence of a 5,310-year-old maize cob provides insights into the early stages of maize domestication	176
Complex patterns of local adaptation in teosinte	174
Genetic, evolutionary and plant breeding insights from the domestication of maize	169
From Many, One: Genetic Control of Prolificacy during Maize Domestication	167
The genomic ecosystem of transposable elements in maize	165
Widespread gene conversion in centromere cores	159
Parallel altitudinal clines reveal trends in adaptive evolution of genome size in Zea mays	157
Maize domestication and gene interaction	148
Comprehensive analysis of imprinted genes in maize reveals allelic variation for imprinting and limited conservation with other species	148
A kinesin-14 motor activates neocentromeres to promote meiotic drive in maize	147
Recent demography drives changes in linked selection across the maize genome	143
Evolutionary and functional genomics of DNA methylation in maize domestication and improvement	142
Genetic modification can improve crop yields—but stop overselling it	139
Transposable elements contribute to dynamic genome content in maize	136
Genome sequencing reveals evidence of adaptive variation in the genus Zea	135
The evolution of recombination under domestication: a test of two hypotheses	132
Megabase-scale inversion polymorphism in the wild ancestor of maize	131
Demography and weak selection drive patterns of transposable element diversity in natural populations of Arabidopsis lyrata	122
Genomic insights into historical improvement of heterotic groups during modern hybrid maize breeding	118
The pattern and distribution of deleterious mutations in maize	112
Comparative evolutionary genetics of deleterious load in sorghum and maize	105
Teosinte as a model system for population and ecological genomics	105
A role for nonadaptive processes in plant genome size evolution?	102
Selective sorting of ancestral introgression in maize and teosinte along an elevational cline	96
Gene fractionation and function in the ancient subgenomes of maize	96
Independent molecular basis of convergent highland adaptation in maize	88
Selection on major components of angiosperm genomes	86
How to make a domesticate	85
Evolutionary genomics of peach and almond domestication	84
Molecular parallelism underlies convergent highland adaptation of maize landraces	78
Evolutionary insights into plant breeding	76
Maize diversity associated with social origin and environmental variation in Southern Mexico	76
Adaptation in plant genomes: bigger is different	74
Conserved noncoding sequences provide insights into regulatory sequence and loss of gene expression in maize	71
An adaptive teosinte mexicana introgression modulates phosphatidylcholine levels and is associated with maize flowering time	69
Genetic architecture and selective sweeps after polygenic adaptation to distant trait optima	68
The genomic impacts of drift and selection for hybrid performance in maize	64
Detecting adaptive differentiation in structured populations with genomic data and common gardens	59
