cid	author	title	year
17766642909868058130,10921800585070774953	Y Jiao, P Peluso, J Shi, T Liang, MC Stitzer, B Wang, MS Campbell, ...	Improved maize reference genome with single-molecule technologies	2017
2254239507517002236	MB Hufford, X Xu, J Van Heerwaarden, T Pyhäjärvi, JM Chia, ...	Comparative population genomics of maize domestication and improvement	2012
1250430020833640405	MA Gore, JM Chia, RJ Elshire, Q Sun, ES Ersoz, BL Hurwitz, JA Peiffer, ...	A first-generation haplotype map of maize	2009
11888569066379603503,5440450712221885825	A Studer, Q Zhao, J Ross-Ibarra, J Doebley	Identification of a functional transposon insertion in the maize domestication gene tb1	2011
2228837645322681220	JM Chia, C Song, PJ Bradbury, D Costich, N De Leon, J Doebley, ...	Maize HapMap2 identifies extant variation from a genome in flux	2012
17831095819213676676,6401429614148345475,7413676098539789267	S McCouch, GJ Baute, J Bradeen, P Bramel, PK Bretting, E Buckler, ...	Feeding the future	2013
7617576175906322793	MB Hufford, AS Seetharam, MR Woodhouse, KM Chougule, S Ou, J Liu, ...	De novo assembly, annotation, and comparative analysis of 26 diverse maize genomes	2021
12664715338521683012	PL Morrell, ES Buckler, J Ross-Ibarra	Crop genomics: advances and applications	2012
4061357872113450280	J Ross-Ibarra, PL Morrell, BS Gaut	Plant domestication, a unique opportunity to identify the genetic basis of adaptation	2007
4643344870051815303	DP Melters, KR Bradnam, HA Young, N Telis, MR May, JG Ruby, R Sebra, ...	Comparative analysis of tandem repeats from hundreds of species reveals unique insights into centromere evolution	2013
11944729109494726624	J Van Heerwaarden, J Doebley, WH Briggs, JC Glaubitz, MM Goodman, ...	Genetic signals of origin, spread, and introgression in a large sample of maize landraces	2011
726174711625580935	I Makarevitch, AJ Waters, PT West, M Stitzer, CN Hirsch, J Ross-Ibarra, ...	Transposable elements contribute to activation of maize genes in response to abiotic stress	2015
14940779386657346302	D Sosso, D Luo, QB Li, J Sasse, J Yang, G Gendrot, M Suzuki, KE Koch, ...	Seed filling in domesticated maize and rice depends on SWEET-mediated hexose transport	2015
8457237997922496538,3590125064334610687	AJ Eckert, J Van Heerwaarden, JL Wegrzyn, CD Nelson, J Ross-Ibarra, ...	Patterns of Population Structure and Environmental Associations to Aridity Across the Range of Loblolly Pine (Pinus taeda L., Pinaceae)	2010
11097878024256170139	JP Cook, MD McMullen, JB Holland, F Tian, P Bradbury, J Ross-Ibarra, ...	Genetic architecture of maize kernel composition in the nested association mapping and inbred association panels	2012
